Reference, Value, Footprint, Datasheet
"J1","USB_OTG","Connectors:USB_Micro-B",""
"J2","DB9_Male","Connectors_DSub:DSUB-9_Male_Horizontal_Pitch2.77x2.54mm_EdgePinOffset9.40mm",""
"R8","R","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",""
"D8","LED","LEDs:LED_D3.0mm",""
"D1","LED","LEDs:LED_D3.0mm",""
"R1","R","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",""
"D2","LED","LEDs:LED_D3.0mm",""
"R2","R","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",""
"R3","R","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",""
"R4","R","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",""
"D3","LED","LEDs:LED_D3.0mm",""
"D4","LED","LEDs:LED_D3.0mm",""
"R5","R","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",""
"R6","R","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",""
"D5","LED","LEDs:LED_D3.0mm",""
"D6","LED","LEDs:LED_D3.0mm",""
"R7","R","Resistors_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P20.32mm_Horizontal",""
"D7","LED","LEDs:LED_D3.0mm",""
